ACORN Latency (microseconds),ACORN Queries per microsecond,ACORN Recall@10,OAK Latency (microseconds),OAK Queries per microsecond,OAK Recall@10,SUB Latency (microseconds),SUB Queries per microsecond,SUB Recall@10
35.46,2.8200789622109417,1,504.465,0.19822980781620134,0.97,10.236,9.769441187964048,0.97
35.186,2.8420394475075312,1,504.09,0.19837727389950208,0.97,10.29,9.718172983479107,0.97
35.255,2.836477095447454,1,504.082,0.19838042223289068,0.97,10.231,9.774215619196559,0.97
35.142,2.845597860110409,1,503.891,0.19845561837778408,0.97,10.234,9.771350400625366,0.97
59.108,1.6918183663801856,1,529.205,0.18896268931699434,0.97,31.438,3.1808639226413895,0.97
35.253,2.836638016622699,1,504.523,0.1982070193033816,0.97,10.213,9.791442279447763,0.97
35.194,2.8413934193328405,1,505.907,0.19766478819229621,0.97,10.24,9.765625,0.97
