ACORN Latency (microseconds),ACORN Queries per microsecond,ACORN Recall@10,OAK Latency (microseconds),OAK Queries per microsecond,OAK Recall@10,SUB Latency (microseconds),SUB Queries per microsecond,SUB Recall@10
34.956,2.860739215013159,1,503.748,0.19851195438989336,0.97,10.224,9.780907668231611,0.97
34.654,2.885669763952213,1,503.465,0.19862353887559214,0.97,10.196,9.80776775205963,0.97
34.607,2.8895888115121218,1,503.259,0.19870484184088114,0.97,10.228,9.777082518576456,0.97
34.68,2.883506343713956,1,503.62,0.1985624081648862,0.97,10.425,9.592326139088728,0.97
34.722,2.8800184321179656,1,503.372,0.19866023537264688,0.97,10.167,9.83574309039048,0.97
34.676,2.8838389664321142,1,503.194,0.19873050950528026,0.97,10.176,9.827044025157232,0.97
