ACORN Latency (microseconds),ACORN Queries per microsecond,ACORN Recall@10,OAK Latency (microseconds),OAK Queries per microsecond,OAK Recall@10,SUB Latency (microseconds),SUB Queries per microsecond,SUB Recall@10
37097,370.97,1,506152,5061.52,0.98,10544,105.44,0.98
36883,368.83,1,506720,5067.2,0.98,10490,104.9,0.98
36935,369.35,1,507356,5073.56,0.98,10469,104.69,0.98
37096,370.96,1,506767,5067.67,0.98,10486,104.86,0.98
36954,369.54,1,506542,5065.42,0.98,10496,104.96,0.98
36962,369.62,1,508845,5088.45,0.98,11773,117.73,0.98
